MCD,Age10 (kyr),Lithics/gm,IRD (%)
29.12,233.31,0.00,0.00
29.22,233.94,102.08,0.55
29.32,234.56,0.00,0.00
29.42,235.19,0.00,0.00
29.52,235.81,8.69,0.31
29.62,236.44,10.57,0.31
29.72,237.06,0.00,0.00
29.77,237.38,12.29,0.38
29.82,237.69,16.70,0.77
29.92,238.32,0.00,0.00
30.02,238.94,30.07,1.05
30.12,239.57,0.00,0.00
30.22,240.19,19.41,0.65
30.32,240.93,0.00,0.00
30.42,241.67,0.00,0.00
30.52,242.41,8.74,0.30
30.62,243.15,7.42,0.66
30.72,243.89,1054.26,41.46
30.82,244.63,435.68,43.59
30.92,245.37,949.15,26.82
30.93,245.45,170.00,2.02
31.02,246.12,57.81,2.62
31.12,246.86,0.00,0.00
31.22,247.60,10.53,0.71
31.27,247.97,12.73,1.56
31.32,248.34,0.00,0.00
31.33,248.41,7.34,1.09
31.42,249.08,51.20,7.14
31.43,249.15,40.93,6.76
31.53,249.89,308.80,27.68
31.63,250.63,395.55,19.24
31.73,251.37,104.96,3.30
31.83,252.11,0.00,0.00
31.93,252.86,4.65,0.30
32.03,253.60,509.84,16.22
32.13,254.34,145.49,6.71
32.33,255.82,36.82,1.38
32.43,256.56,11.15,0.65
32.53,257.30,11.70,0.94
32.58,257.67,0.00,0.00
32.63,258.04,0.00,0.00
32.73,258.78,4.61,0.77
32.83,259.52,10.01,0.63
32.93,260.26,55.39,3.43
33.03,261.00,85.71,3.87
33.13,261.74,53.34,3.29
33.23,262.48,33.93,1.18
33.33,263.22,0.00,0.00
33.43,263.96,4.46,0.35
33.53,264.71,5.42,0.33
33.63,265.45,113.91,3.70
33.73,266.19,42.89,2.15
33.83,266.93,3.09,0.35
34.04,268.48,158.62,21.31
34.08,268.78,270.29,35.59
34.13,269.15,2643.68,85.60
34.33,270.63,96.59,12.11
34.48,271.74,38.43,1.35
34.53,272.11,6.76,1.68
34.68,273.22,17.78,2.14
34.73,273.59,24.70,3.25
34.88,274.70,0.00,0.00
34.93,275.04,3.19,0.61
35.08,275.69,268.03,9.76
35.28,276.55,29.95,3.64
35.48,277.41,0.00,0.00
35.68,278.27,1.33,0.34
35.73,278.48,16.35,6.13
35.78,278.70,233.47,23.05
35.98,279.56,107.28,3.61
36.18,280.41,382.10,16.36
36.58,282.13,45.98,2.37
36.98,283.85,35.42,0.39
37.18,284.71,47.44,1.10
37.23,284.93,23.37,1.46
37.28,285.14,6.64,0.90
37.68,288.20,76.69,0.55
38.08,292.60,2315.36,10.38
38.28,294.80,29.81,0.99
38.48,297.00,13.85,0.91
38.68,299.10,4.21,0.34
38.73,299.63,0.00,0.00
38.78,300.15,4.87,0.37
38.98,302.25,50.66,2.97
39.18,304.35,35.22,0.95
39.58,308.55,0.00,0.00
39.78,310.65,0.00,0.00
39.98,312.75,0.00,0.00
40.18,314.85,0.00,0.00
40.23,315.38,6.06,0.34
40.28,315.90,14.73,0.29
40.48,318.00,693.75,14.65
40.68,318.66,15.23,0.33
40.88,319.32,57.80,0.93
40.91,319.42,150.93,3.69
41.01,319.75,37.35,0.98
41.08,319.99,0.00,0.00
41.21,320.42,10.52,0.36
41.28,320.65,19.95,1.08
41.41,321.08,38.54,0.71
41.61,321.74,36.08,0.62
41.66,321.90,133.34,1.87
41.71,322.07,466.89,3.24
42.31,324.06,12.41,0.41
42.51,324.72,0.00,0.00
42.61,325.05,23.94,0.85
42.71,325.38,0.00,0.00
42.81,325.71,0.00,0.00
42.91,326.04,0.00,0.00
43.01,326.37,0.00,0.00
43.11,326.70,8.87,0.42
43.16,326.87,37.92,1.40
43.21,327.09,8.50,0.35
43.31,327.94,0.00,0.00
43.41,328.79,0.00,0.00
43.51,329.64,0.00,0.00
43.61,330.49,17.14,0.60
43.71,331.34,8.35,0.23
43.81,332.19,169.92,6.40
43.91,333.04,91.80,1.93
44.01,333.89,807.85,79.77
44.11,334.75,1512.05,62.53
44.21,335.60,1908.23,80.77
44.31,336.45,1426.55,66.42
44.41,337.30,493.12,63.76
44.51,338.15,589.39,66.24
44.61,339.00,51.46,26.03
44.66,339.24,247.15,32.21
44.71,339.49,58.15,20.00
44.81,339.98,361.46,15.10
44.91,340.47,15.43,3.31
45.01,340.96,6.21,0.97
45.04,341.10,21.29,5.34
45.11,341.44,27.91,13.98
45.24,342.08,122.06,9.09
45.44,343.06,177.94,8.13
45.64,344.03,58.60,2.99
45.84,345.01,122.81,5.71
45.89,345.26,42.52,1.27
45.94,345.50,21.04,0.37
46.14,346.48,0.00,0.00
46.34,347.46,6.02,1.06
46.54,348.43,701.51,21.02
46.74,349.41,1395.04,40.96
46.94,350.39,533.20,24.66
46.99,350.63,307.94,8.39
47.02,350.78,208.60,8.38
47.07,351.02,1008.50,9.68
47.12,351.27,151.45,4.91
47.14,351.37,1152.16,16.56
47.17,351.51,209.80,4.28
47.19,351.61,58.55,1.30
47.22,351.76,14.50,0.56
47.27,352.00,107.70,5.48
47.32,352.34,764.03,28.32
47.35,352.55,230.46,4.26
47.36,352.62,220.13,5.32
47.39,352.82,29.98,2.93
47.41,352.96,22.90,1.86
47.44,353.16,558.72,11.62
47.46,353.30,1455.34,10.18
47.48,353.44,1064.70,12.96
47.51,353.64,37.89,0.75
47.56,353.98,229.23,4.67
47.61,354.33,278.70,3.45
47.64,354.53,280.07,1.93
47.66,354.67,182.19,2.92
47.68,354.80,219.55,2.24
47.71,355.01,140.64,1.98
47.76,355.35,311.54,1.93
47.81,355.69,382.05,2.21
47.84,355.90,19.85,0.42
47.86,356.03,83.74,0.96
47.88,356.17,47.23,0.96
47.91,356.38,102.75,1.33
47.96,356.72,80.97,1.69
48.01,357.06,25.10,0.32
48.04,357.27,52.01,0.99
48.06,357.40,73.40,2.09
48.08,357.54,24.74,0.84
48.11,357.74,86.98,2.72
48.16,358.09,733.00,25.12
48.21,358.43,647.81,10.55
48.24,358.63,228.65,2.32
48.26,358.77,46.83,0.60
48.28,358.91,0.00,0.00
48.31,359.11,13.65,0.24
48.36,359.45,0.00,0.00
48.41,359.80,39.83,0.54
48.44,360.00,45.00,1.08
48.46,360.14,11.82,0.28
48.48,360.27,0.00,0.00
48.51,360.48,0.00,0.00
48.56,360.82,0.00,0.00
48.61,361.16,10.40,0.56
48.66,361.50,8.98,1.60
48.68,361.64,132.56,4.46
48.71,361.85,291.26,8.00
48.76,362.19,3.85,0.29
48.81,362.53,0.00,0.00
48.84,362.74,18.61,0.69
48.86,362.87,0.00,0.00
48.89,363.08,7.83,0.37
48.91,363.21,2.97,0.24
48.94,363.42,0.00,0.00
48.96,363.56,0.00,0.00
48.98,363.69,0.00,0.00
49.01,363.90,0.00,0.00
49.06,364.24,0.00,0.00
49.11,364.58,3.65,0.31
49.14,364.79,0.00,0.00
49.16,364.92,7.24,0.60
49.18,365.06,0.00,0.00
49.21,365.27,0.00,0.00
49.26,365.61,0.00,0.00
49.31,365.95,0.00,0.00
49.34,366.15,0.00,0.00
49.36,366.29,0.00,0.00
49.38,366.43,0.00,0.00
49.41,366.63,0.00,0.00
49.46,366.97,0.00,0.00
49.51,367.32,8.89,0.93
49.54,367.52,15.57,1.46
49.56,367.66,21.69,1.89
49.58,367.80,43.35,3.90
49.61,368.00,62.67,5.06
49.66,368.83,2080.02,28.26
49.69,369.33,28.43,1.88
49.71,369.67,71.00,3.38
49.74,370.17,16.28,0.73
49.76,370.50,21.01,1.30
49.78,370.83,14.56,0.69
49.79,371.00,243.06,9.78
49.81,371.33,10.58,0.99
49.84,371.83,4.20,0.27
49.86,372.17,2.41,0.29
49.89,372.67,0.00,0.00
49.91,373.00,0.00,0.00
49.94,373.50,2.28,0.23
49.96,373.83,2.72,0.29
49.98,374.17,2.39,0.25
49.99,374.33,58.30,4.06
50.01,374.67,0.00,0.00
50.04,375.17,0.00,0.00
50.06,375.50,0.00,0.00
50.09,376.00,0.00,0.00
50.14,376.41,7.82,1.58
50.19,376.83,2.01,0.43
50.21,376.99,1.45,0.39
50.24,377.24,1.87,0.32
50.26,377.41,14.10,2.33
50.29,377.65,1.15,0.28
50.34,378.07,0.00,0.00
50.39,378.48,4.32,0.81
50.41,378.64,3.23,0.65
50.44,378.89,14.48,2.24
50.46,379.06,1.63,0.23
50.49,379.31,17.49,1.66
50.54,379.72,25.59,2.17
50.59,380.13,224.16,12.50
50.61,380.30,89.74,5.05
50.64,380.54,290.79,10.29
50.66,380.71,435.95,15.96
50.69,380.96,560.09,15.72
50.74,381.37,168.00,3.99
50.79,381.78,10.05,0.26
50.81,381.95,6.99,0.40
50.84,382.20,193.34,7.10
50.86,382.36,0.00,0.00
50.89,382.61,0.00,0.00
50.91,382.78,39.08,0.73
50.94,383.02,28.90,0.30
50.96,383.19,39.66,0.56
50.99,383.44,0.00,0.00
51.04,383.85,7.78,0.28
51.09,384.26,0.00,0.00
51.11,384.43,0.00,0.00
51.14,384.68,0.00,0.00
51.16,384.84,0.00,0.00
51.19,385.09,0.00,0.00
51.24,385.50,0.00,0.00
51.29,385.92,0.00,0.00
51.31,386.08,6.43,0.33
51.34,386.33,0.00,0.00
51.36,386.49,0.00,0.00
51.39,386.74,0.00,0.00
51.44,387.15,0.00,0.00
51.49,387.57,0.00,0.00
51.51,387.73,5.32,0.34
51.54,387.98,0.00,0.00
51.56,388.15,0.00,0.00
51.59,388.39,0.00,0.00
51.64,388.81,0.00,0.00
51.69,389.22,0.00,0.00
51.74,389.63,0.00,0.00
51.76,389.80,0.00,0.00
51.79,390.05,0.00,0.00
51.84,390.46,0.00,0.00
51.89,390.87,0.00,0.00
51.91,391.04,0.00,0.00
51.94,391.29,0.00,0.00
51.96,391.45,0.00,0.00
51.99,391.70,0.00,0.00
52.04,392.11,0.00,0.00
52.09,392.52,0.00,0.00
52.11,392.69,17.13,0.70
52.14,392.94,0.00,0.00
52.16,393.10,0.00,0.00
52.19,393.35,5.42,0.35
52.24,393.76,0.00,0.00
52.29,394.18,0.00,0.00
52.34,394.59,0.00,0.00
52.36,394.76,8.13,0.34
52.39,395.00,2.45,0.25
52.41,395.17,3.65,0.38
52.44,395.42,0.00,0.00
52.46,395.58,0.00,0.00
52.49,395.83,3.60,0.23
52.54,396.24,0.00,0.00
52.59,396.66,0.00,0.00
52.64,397.07,0.00,0.00
52.66,397.23,0.00,0.00
52.69,397.48,7.12,0.54
52.74,397.90,3.02,0.21
52.79,398.31,11.99,0.87
52.81,398.47,0.00,0.00
52.84,398.72,8.62,0.31
52.86,398.89,0.00,0.00
52.89,399.13,6.79,0.25
52.94,399.55,0.00,0.00
52.99,399.96,0.00,0.00
53.01,400.13,0.00,0.00
53.04,400.37,0.00,0.00
53.06,400.54,0.00,0.00
53.09,400.79,0.00,0.00
53.14,401.20,0.00,0.00
53.19,401.61,0.00,0.00
53.21,401.78,0.00,0.00
53.24,402.03,9.62,0.61
53.26,402.19,0.00,0.00
53.29,402.44,0.00,0.00
53.34,402.85,0.00,0.00
53.39,403.27,9.01,0.33
53.41,403.43,0.00,0.00
53.44,403.68,0.00,0.00
53.46,403.84,17.12,0.56
53.49,404.09,0.00,0.00
53.54,404.50,10.78,0.55
53.59,404.92,0.00,0.00
53.61,405.03,0.00,0.00
53.64,405.14,8.36,0.33
53.66,405.21,0.00,0.00
53.69,405.31,0.00,0.00
53.74,405.48,0.00,0.00
53.79,405.65,4.41,0.22
53.84,405.82,0.00,0.00
53.86,405.89,0.00,0.00
