depth,age_ka,d13C,d18O
36.58,282.13,0.42,3.78
36.78,282.99,0.91,3.43
36.98,283.85,1.02,3.54
37.18,284.71,0.97,3.38
37.23,284.93,0.79,3.43
37.28,285.14,0.61,3.25
37.48,286,0.71,3.33
37.68,288.2,0.94,3.29
37.88,290.4,0.61,3.23
38.08,292.6,0.2,3.58
38.28,294.8,0.47,3.53
38.48,297,0.21,4.09
38.68,299.1,0.28,3.92
38.73,299.63,0.51,3.86
38.78,300.15,0.36,3.9
38.98,302.25,0.7,3.84
39.18,304.35,0.31,3.73
39.38,306.45,0.88,3.52
39.58,308.55,0.79,3.52
39.78,310.65,0.68,3.43
39.98,312.75,0.18,3.44
40.18,314.85,0.43,3.29
40.23,315.38,0.73,3.32
40.28,315.9,0.74,3.24
40.48,318,0.36,3.48
40.68,318.66,0.92,3.6
40.88,319.32,0.9,3.53
41.08,319.99,0.9,3.45
41.28,320.65,0.78,3.24
41.41,321.08,0.83,3.16
41.61,321.74,0.46,3.05
41.66,321.9,0.77,3.31
41.71,322.07,0.3,3.08
41.91,322.73,0.93,3.21
42.11,323.39,0.26,3.06
42.31,324.06,0.45,2.99
42.51,324.72,0.67,2.84
42.61,325.05,0.93,2.66
42.71,325.38,0.61,2.75
42.81,325.71,0.76,2.54
42.91,326.04,0.69,2.68
43.01,326.37,0.89,2.56
43.11,326.7,0.79,2.63
43.16,326.87,0.83,2.61
43.21,327.09,0.69,2.61
43.31,327.94,0.73,2.63
43.61,330.49,0.58,3.39
43.81,332.19,0.78,4.04
44.11,334.74,0.31,3.25
44.21,335.6,-0.25,3.15
44.31,336.45,-0.49,3.27
44.41,337.3,0.09,4.23
44.51,338.15,0.46,4.45
44.61,339,0.19,4.58
44.71,339.49,0.14,4.4
44.81,339.98,0.44,4.42
44.91,340.47,0.52,4.57
45.01,340.95,0.48,4.52
45.04,341.1,0.25,4.54
45.24,342.08,0.46,4.61
45.44,343.06,0.59,4.18
45.64,344.03,0.4,4.3
45.84,345.01,0.66,4.33
45.89,345.26,0.38,4.18
45.94,345.5,-0.04,4.27
46.14,346.48,0.36,4.3
46.34,347.45,0.46,3.88
46.54,348.43,-0.57,4.03
46.74,349.41,-0.05,3.88
46.94,350.39,0.32,4.08
46.99,350.61,0.47,4.05
47.02,350.75,0.66,4.18
47.07,351,0.47,4.08
47.12,351.24,0.58,4.09
47.14,351.36,0.63,3.99
47.17,351.49,0.51,3.97
47.19,351.58,0.62,4.12
47.22,351.73,0.5,3.93
47.27,351.98,0.61,4.02
47.35,352.55,0.92,4.13
47.37,352.65,0.71,4.11
47.44,353.16,0.95,3.28
47.47,353.33,0.92,3.93
47.49,353.47,0.48,3.88
47.62,354.36,0.94,4.06
47.64,354.53,0.58,3.87
47.67,354.7,0.8,3.88
47.69,354.84,0.89,4.13
47.72,355.04,0.74,3.83
47.77,355.38,0.86,4.02
47.82,355.73,0.78,3.93
47.84,355.9,0.77,3.62
47.87,356.07,0.9,3.77
47.89,356.21,0.64,3.84
47.92,356.41,1,3.83
47.97,356.75,0.76,3.79
48.02,357.09,1.07,3.87
48.04,357.26,1.04,3.77
48.07,357.44,0.62,3.81
48.09,357.57,0.74,3.72
48.12,357.78,0.46,3.7
48.17,358.12,0.48,3.69
48.22,358.46,0.8,4.1
48.24,358.63,1.01,3.91
48.27,358.8,0.96,4.05
48.29,358.94,0.81,4.13
48.32,359.15,0.65,4.06
48.42,359.83,0.97,4
48.44,360,0.83,3.46
48.47,360.17,0.98,3.96
48.52,360.51,0.82,3.9
48.57,360.85,0.79,3.91
48.62,361.2,0.65,3.38
48.64,361.37,0.64,3.73
48.69,361.68,0.88,3.79
48.72,361.88,0.58,3.82
48.77,362.22,0.78,3.8
48.82,362.56,0.42,3.87
48.87,362.91,0.38,3.79
48.89,363.08,0.61,3.58
49.02,363.93,0.89,3.65
49.14,364.79,1.07,3.62
49.17,364.96,0.61,3.6
49.22,365.3,0.34,3.63
49.32,365.98,0.77,3.55
49.34,366.15,0.87,3.49
49.37,366.32,0.35,3.64
49.42,366.67,0.66,3.51
49.47,367.01,0.83,3.57
49.52,367.35,0.76,3.4
49.54,367.52,0.86,3.44
49.59,367.83,0.64,3.4
49.62,368.08,0.58,3.48
49.67,368.92,0.5,3.37
49.72,369.75,0.84,3.67
49.74,370.17,-0.1,3.57
49.77,370.58,0.74,3.68
49.79,370.92,0.63,3.62
49.82,371.42,0.43,3.75
49.89,372.58,0.61,3.71
49.94,373.42,0.62,3.73
49.99,374.25,0.51,3.68
50.01,374.67,0.25,3.71
50.04,375.08,0.24,3.7
50.06,375.42,0.3,3.6
50.09,375.92,0.51,3.69
50.19,376.78,0.25,3.62
50.21,376.99,-0.06,3.51
50.29,377.61,0.41,3.58
50.34,378.02,0.42,3.55
50.39,378.44,0.5,3.45
50.41,378.64,0.78,3.47
50.44,378.85,0.2,3.43
50.49,379.26,0.35,3.32
50.54,379.68,0.5,3.21
50.59,380.09,0.47,3.3
50.61,380.3,0.13,3.37
50.64,380.5,0.69,3.21
50.66,380.67,0.34,3.21
50.69,380.92,0.38,3.21
50.79,381.74,0.37,3.55
50.81,381.95,-0.19,3.63
50.84,382.16,0.37,3.68
50.86,382.36,-0.11,3.58
50.89,382.57,0.86,3.46
50.91,382.77,0.4,3.25
50.94,382.98,0.78,3.46
50.96,383.15,0.55,3.42
50.99,383.39,0.68,3.19
51.11,384.43,0.51,3.26
51.14,384.63,0.98,3.22
51.16,384.8,1,3.21
51.31,386.08,0.58,3.18
51.36,386.45,0.24,3.15
51.39,386.7,0.59,3.22
51.44,387.11,0.92,2.95
51.51,387.73,0.88,3.02
51.56,388.1,0.56,3.08
51.59,388.35,0.63,2.97
51.64,388.76,0.83,3.22
51.69,389.18,0.38,3.15
51.71,389.38,0.9,3.04
51.74,389.59,0.73,2.96
51.76,389.76,0.89,3.06
51.91,391.04,0.89,3.04
51.99,391.66,1.06,2.86
52.11,392.69,1.06,2.85
52.16,393.06,0.69,2.79
52.19,393.31,0.5,2.89
52.31,394.34,1.13,2.79
52.34,394.55,0.87,3.1
52.36,394.75,0.96,2.78
52.39,394.96,0.76,2.67
52.41,395.17,1.1,2.9
52.44,395.37,1.1,2.68
52.54,396.2,0.98,2.69
52.61,396.82,0.86,2.81
52.66,397.19,1.06,2.66
52.74,397.85,1.17,2.64
52.79,398.27,0.47,2.61
52.81,398.47,1.04,2.63
52.84,398.68,1.1,2.37
52.86,398.84,0.96,2.62
52.89,399.09,1.1,2.56
52.99,399.92,1.13,2.62
53.01,400.13,0.88,2.55
53.04,400.33,1.02,2.52
53.06,400.5,1.12,2.71
53.09,400.75,1.09,2.41
53.14,401.16,1.11,2.66
53.19,401.57,1.04,2.59
53.21,401.78,1.24,2.6
53.24,401.98,1.14,2.5
53.26,402.15,0.97,2.64
53.29,402.4,0.99,2.52
53.34,402.81,0.95,2.53
53.39,403.22,1.16,2.56
53.41,403.43,1.04,2.57
53.44,403.64,0.94,2.62
53.46,403.8,1.04,2.63
53.49,404.05,1.19,2.53
53.54,404.46,1.18,2.6
53.61,405.03,1.05,2.64
53.66,405.19,1.16,2.52
53.69,405.29,1.17,2.55
53.79,405.63,1.12,2.74
53.81,405.72,0.88,2.63
53.84,405.8,0.54,2.92
53.86,405.89,1,3.06
53.89,405.97,1.1,2.68
53.91,406.06,1.24,2.71
53.94,406.14,0.98,2.8
53.96,406.21,0.8,2.8
53.99,406.32,1.03,2.72
54.04,406.49,0.71,2.64
54.09,406.66,0.7,2.68
54.11,406.74,0.79,2.56
54.14,406.83,1.05,2.72
54.16,406.9,0.77,2.73
54.19,407,0.68,2.62
54.24,407.17,1.03,2.63
54.31,407.43,0.92,2.8
54.34,407.51,0.76,2.75
54.36,407.58,0.77,2.82
54.39,407.68,1.08,2.76
54.44,407.85,1.08,2.7
54.49,408.02,0.97,2.59
54.51,408.11,1.09,2.71
54.54,408.19,0.64,2.75
54.56,408.26,0.89,2.71
54.59,408.37,0.84,2.77
54.64,408.54,0.85,2.78
54.66,408.62,0.88,2.7
54.69,408.71,0.84,2.72
54.74,408.88,0.97,2.73
54.76,408.95,1.04,2.79
54.79,409.05,0.67,2.77
54.81,409.13,1.02,2.8
54.84,409.22,0.78,2.75
54.89,409.39,0.9,2.9
54.91,409.48,0.93,2.85
54.96,409.63,0.93,2.96
55.01,409.82,1.12,2.72
55.04,409.9,0.89,2.95
55.09,410.07,0.63,3.03
55.11,410.16,0.72,2.88
55.14,410.24,0.46,2.9
55.16,410.31,0.81,2.93
55.21,410.5,-0.01,2.99
55.29,410.76,0.76,2.85
55.31,410.84,0.2,3.07
55.34,410.93,0.66,3
55.36,411.01,0.63,3.12
55.39,411.1,0.54,3.1
55.41,411.18,0.62,3.18
55.46,411.34,0.1,3.15
55.51,411.53,0.29,3.01
55.54,411.61,0.64,3.04
55.59,411.78,0.33,3.02
55.61,411.87,0.48,3.24
55.64,411.95,0.13,3.27
55.66,412.02,0.41,3.26
55.69,412.12,0.67,3.24
55.71,412.21,0.5,3.21
55.74,412.29,0.01,3.28
55.79,412.47,-0.04,3.33
55.81,412.55,0.45,3.22
55.86,412.71,0.37,3.42
55.91,412.89,0.55,3.19
55.94,412.98,0.13,3.41
55.99,413.15,0.14,3.35
56.01,413.23,0.28,3.35
56.04,413.32,0.45,3.31
56.06,413.39,0.23,3.55
56.31,414.26,0.49,3.31
56.39,414.52,0.26,3.35
56.41,414.6,0.24,3.32
56.66,415.44,-0.1,3.52
56.91,416.31,-0.38,3.4
57.4,417.97,-0.29,3.45
57.48,418.24,-0.43,3.53
57.51,418.36,-0.51,3.67
57.55,418.48,-0.57,3.66
57.6,418.65,-0.49,4.09
57.85,419.5,-0.28,4.24
57.9,419.68,-0.1,4.43
57.93,419.78,0.01,4.52
57.96,419.9,0.13,4.58
58,420.05,0.16,4.84
58.11,421.2,0.34,4.81
58.15,421.56,0.29,4.73
58.2,422.06,0.22,4.75
58.3,423.06,0.17,4.73
58.38,423.86,0.18,4.77
58.41,424.21,0.33,4.87
58.45,424.56,0.41,4.64
58.53,425.37,0.3,4.6
58.56,425.72,0.38,4.78
58.75,427.57,0.02,4.58
58.79,427.98,0.04,4.5
58.84,428.48,-0.23,4.28
58.86,428.73,-0.24,4.34
59.47,434.8,0.23,4.7
59.52,435.3,0.41,4.71
59.54,435.55,-0.11,4.6
59.57,435.8,0.35,4.64
59.59,436,0.36,4.57
59.62,436.3,0.12,4.59
59.74,437.56,0.41,4.49
59.77,437.81,0.6,4.42
59.79,438.01,0.4,4.56
59.82,438.31,0.56,4.47
59.87,438.81,0.53,4.5
59.92,439.31,0.32,4.39
59.94,439.56,0.71,4.42
59.97,439.81,0.54,4.44
59.99,440.07,0.57,4.46
60.02,440.32,0.05,4.39
60.04,440.57,0.22,4.35
60.09,441.02,0.32,4.26
60.12,441.32,0.32,4.33
60.17,441.82,0.45,4.1
60.22,442.32,0.28,4.25
60.24,442.57,0.31,4.11
60.27,442.82,0.36,4.11
60.29,443.03,0.61,4.39
60.32,443.33,0.2,4.43
60.37,443.83,0.48,4.4
60.42,444.33,0.34,4.34
60.44,444.58,0.44,4.13
60.49,445.03,0.09,4.36
60.52,445.33,0.21,4.43
60.62,446.34,-0.36,3.73
60.64,446.59,0.06,4
60.69,447.04,0.38,4.18
60.72,447.34,0.58,4.43
60.77,447.84,0.5,4.21
60.82,448.34,0.51,4.3
60.84,448.59,0.27,4.13
60.87,448.84,-0.16,3.98
60.92,449.35,0.57,4.42
61.02,450.35,0.43,4.17
61.04,450.6,0.39,3.87
61.07,450.85,0,3.68
61.09,451.05,-0.02,4.01
61.12,451.35,-0.12,4.07
61.17,451.85,0.81,4.34
61.22,452.36,0.26,4.19
61.24,452.61,0.7,4.14
61.27,452.86,0.6,4.14
61.29,453.06,0.54,3.96
61.32,453.36,0.34,4.21
61.42,454.36,0.84,4.14
61.44,454.61,0.03,3.89
61.47,454.86,0.33,4.21
61.49,455.12,0.08,4.16
61.52,455.37,0.35,4.24
61.54,455.62,0.88,4.02
61.59,456.07,0.53,3.94
61.67,456.87,0.48,4.06
61.72,457.37,0.84,3.99
61.74,457.62,0.7,4.2
61.77,457.87,1,4.2
61.92,459.38,0.62,4.01
62.02,460.38,0.86,3.86
62.12,461.39,0.64,3.73
62.14,461.64,0.76,3.66
62.17,461.89,0.94,3.71
62.22,462.39,1.11,3.69
62.27,462.89,0.83,3.62
62.32,463.39,0.61,3.72
62.34,463.64,1.11,3.52
62.37,463.89,0.72,3.6
62.39,464.09,0.4,3.53
62.42,464.4,0.73,3.44
62.47,464.9,0.93,3.5
62.54,465.65,0.35,3.51
62.57,465.9,1.03,3.63
62.59,466.1,0.67,3.65
62.62,466.4,-0.22,3.14
62.67,466.9,1.23,3.45
62.74,467.66,0.44,3.46
62.77,467.91,0.42,3.39
62.82,468.41,0.55,3.94
62.92,469.41,1.05,3.9
62.96,469.81,1.05,3.81
63.01,470.31,1.22,3.72
63.03,470.57,1,3.7
63.08,471.02,0.36,3.88
63.11,471.32,0.83,3.8
63.21,472.32,0.84,3.79
63.23,472.57,0.64,3.69
63.28,473.02,0.77,3.67
63.31,473.32,0.96,3.64
63.36,473.83,1.02,3.59
63.41,474.33,0.64,3.56
63.43,474.58,0.76,3.58
63.46,474.83,0.24,3.61
63.48,475.03,0.89,3.45
63.51,475.33,0.79,3.5
63.56,475.83,1.36,3.56
63.61,476.33,1.08,3.36
63.63,476.59,1.25,3.48
63.66,476.84,0.36,3.35
63.68,477.04,0.72,3.29
63.71,477.34,0.94,3.37
63.76,477.84,1.48,3.49
63.81,478.34,1.54,3.56
63.83,478.59,1.53,3.26
63.86,478.84,0.59,3.42
63.88,479.04,1.13,3.35
63.91,479.34,1.33,3.45
63.96,479.85,1.17,3.21
64.01,480.35,1.38,3.13
64.03,480.6,1.28,3.15
64.06,480.85,1.16,3.18
64.08,481.21,1.36,3.09
64.11,481.75,1.27,3.19
64.13,482.28,1.39,3.13
64.16,482.82,1.32,3.18
64.21,483.89,1.47,3.16
64.26,484.96,1.45,3.08
64.31,486.02,1.23,3.16
64.33,486.56,0.68,3.1
64.36,487.09,1.1,3.07
64.38,487.52,1.41,3.22
64.41,488.16,1.3,3.25
64.46,489.23,1.18,3.29
64.51,490.3,1.14,3.27
64.53,490.83,1.31,3.24
64.56,491.37,1.18,3.27
64.58,491.8,1.35,3.3
64.61,492.44,1.39,3.26
64.66,493.51,1.38,3.27
64.71,494.58,1.59,3.27
64.73,495.11,1.48,3.32
64.76,495.64,1.25,3.24
64.78,496.07,1.47,3.27
64.81,496.71,1.27,3.27
64.86,497.78,1.4,3.26
64.91,498.85,1.29,3.33
64.93,499.39,1.3,3.27
64.96,499.92,1.44,3.25
65.01,500.99,1.28,3.25
65.06,502.06,1.19,3.27
65.13,503.66,1.41,3.3
65.33,507.94,1.26,3.52
65.53,512.21,0.92,3.91
