sample_id,depth,age_ka,d13C,d18O,ird_percent,ird_lithics_gm
"162-980A-7H-1,68-70",69.13,556.59,0.81,3.36,0,0
"162-980A-7H-1,73-75",69.18,557.15,0.92,3.55,0.25,1.96
"162-980A-7H-1,78-80",69.23,557.71,0.55,3.56,0,0
"162-980A-7H-1,83-85",69.28,558.27,0.7,3.69,0.2,0.42
"162-980A-7H-1,87-89",69.32,558.72,0.87,3.56,1.09,5.88
"162-980A-7H-1,93-95",69.38,559.39,0.43,3.57,1.6,20.98
"162-980A-7H-1,98-100",69.43,559.95,0.33,3.31,11.02,368.03
"162-980A-7H-1,103-105",69.48,560.5,1.06,3.78,8.65,333.88
"162-980A-7H-1,108-110",69.53,561.06,0.68,3.67,5.64,65.85
"162-980A-7H-1,113-115",69.58,561.62,0.83,3.55,0.36,10.86
"162-980A-7H-1,118-120",69.63,562.18,,,1.14,31.75
"162-980A-7H-1,123-125",69.68,562.74,0.79,3.43,0.24,2.87
"162-980A-7H-1,128-130",69.73,563.3,,,0.78,27.85
"162-980A-7H-1,133-135",69.78,563.86,,,1.28,32.03
"162-980A-7H-1,138-140",69.83,564.42,0.51,3.13,3.81,198.07
"162-980A-7H-1,143-145",69.88,564.98,0.45,3.17,37.82,1497.08
"162-980A-7H-1,148-150",69.93,565.54,0.9,3.38,6.03,65.91
"162-980A-7H-2,3-5",69.98,566.1,0.7,3.33,4.4,279.17
"162-980A-7H-2,8-10",70.03,566.66,0.76,3.51,0.34,33.8
"162-980A-7H-2,13-15",70.08,567.21,0.83,3.56,0.94,31.31
"162-980A-7H-2,18-20",70.13,567.77,0.99,3.46,0.43,25.81
"162-980A-7H-2,23-25",70.18,568.33,0.62,3.42,0.2,14.56
"162-980A-7H-2,28-30",70.23,568.89,0.83,3.43,0.29,31.47
"162-980A-7H-2,33-35",70.28,569.45,0.55,2.96,0,0
"162-980A-7H-2,38-40",70.33,570.01,0.74,2.82,0,0
